"name","address","city_state_zip","phone","latitude","longitude"
"Cane Rosso","2612 Commerce St","Dallas, TX 75226","(214) 741-1188","",""
"Piggie Pies Pizza &amp; Pasta","3707 Greenville Ave","Dallas, TX 75206","(214) 821-6465","",""
"Perfect Union Pizza","33B Highland Park Village","Dallas, TX 75205","(214) 559-4245","",""
"Dough Bro’s Italian Kitchen","5181 Keller Springs Rd, Ste 101","Dallas, TX 75248","(469) 248-0058","",""
"Greenville Avenue Pizza","1923 Greenville Ave","Dallas, TX 75206","(214) 826-5404","",""
"Mimi’s Pizzeria","6807 W Northwest Hwy","Dallas, TX 75225","(972) 215-7290","",""
"Pie Tap Pizza Workshop + Bar","1212 Oak Lawn Ave, Ste 131","Dallas, TX 75207","(469) 677-0997","",""
"Grimaldi’s Pizzeria","3636 McKinney Ave, Ste 190","Dallas, TX 75201","(214) 559-4611","",""
"Delucca Gaucho Pizza &amp; Wine","1628 Oak Lawn Ave, Ste 100","Dallas, TX 75207","(214) 774-9903","",""
"Bona Pizza","4218 W Lovers Ln, Ste A","Dallas, TX 75209","(214) 351-1888","",""
"Social Pie","5855 Maple Ave","Dallas, TX 75235","(469) 930-4483","",""
"NY Pizza Palace","5403 Arapaho Rd","Dallas, TX 75248","(972) 392-9222","",""
"Bay 34th St Pizzeria","13605 Midway Rd, Ste 170","Dallas, TX 75244","(214) 774-9469","",""
"Eno’s Pizza Tavern","407 N Bishop Ave","Dallas, TX 75208","(214) 943-9200","",""
"Kenny’s Italian Kitchen","5100 Belt Line Rd, Ste 764","Dallas, TX 75254","(972) 661-9380","",""
"Serious Pizza","2807 Elm St","Dallas, TX 75226","(214) 761-9999","",""
"Olivella’s Neo Pizza Napoletana","3406 Mcfarlin Dr","Dallas, TX 75205","(214) 528-7070","",""
"Italia Express","4000 Cedar Springs Rd","Dallas, TX 75219","(214) 521-3300","",""
"ZaLat Pizza","2519 N Fitzhugh Ave","Dallas, TX 75204","(214) 370-9786","",""
"Carmine’s Pizzeria","5365 Spring Valley Rd","Dallas, TX 75254","(972) 404-8110","",""
"The Pizza Guy","17390 Preston Rd, Ste 263","Dallas, TX 75252","(972) 733-1222","",""
"Pizzeria Testa","3525 Greenville Ave","Dallas, TX 75206","(469) 620-2266","",""
"Zio Al’s Pizza &amp; Pasta","3940 Rosemeade Pkwy, Ste 120","Dallas, TX 75287","(972) 820-0001","",""
"Campisi’s Restaurant","5610 E Mockingbird Ln","Dallas, TX 75206","(214) 827-0355","",""
"Picasso’s","7215 Skillman St, Ste 300","Dallas, TX 75231","(214) 553-8100","",""
"Lover’s Pizza and Pasta","6434 E Mockingbird Ln, Ste 113","Dallas, TX 75214","(214) 823-2262","",""
"Franki’s Pizza &amp; Pasta","11722 Marsh Ln","Dallas, TX 75229","(469) 335-0345","",""
"Brother’s Pizza","10455 N Central Expy, Ste 104","Dallas, TX 75231","(214) 368-2821","",""
"Primo Brothers Pizza","9310 Forest Ln, Ste 334","Dallas, TX 75243","(214) 341-4414","",""
"Coal Vines","2404 Cedar Springs Rd, Ste 500","Dallas, TX 75201","(214) 855-4999","",""
"Old Hag’s Pizza &amp; Pasta","1315 W Davis St","Dallas, TX 75208","(214) 941-8080","",""
"Sal’s Pizza &amp; Restaurant","2525 Wycliff Ave","Dallas, TX 75219","(214) 522-1828","",""
"Louie’s","1839 N Henderson Ave","Dallas, TX 75206","(214) 826-0505","",""
"Mama Mia Pizza &amp; Pasta","2935 Elm St","Dallas, TX 75226","(214) 744-6262","",""
